mdb_id,address,street,postalcode,city,lat,lon
1822,,,,,,
2099,"Unter Käster 1-3, 50667 Köln",Unter Käster 1-3,50667,Köln,50.9378005,6.9602706
1824,,,,,,
1825,"Altenessener Straße 268, 45326 Essen",Altenessener Straße 268,45326,Essen,51.4894187,7.009367635674382
2289,"In der Burg 18, 61169 Friedberg",In der Burg 18,61169,Friedberg,50.34153645,8.752524388164137
2289,"Schmidtgasse 8, 63571 Gelnhausen",Schmidtgasse 8,63571,Gelnhausen,50.201192,9.192480776204775
1030,"Goethestraße 16, 31224 Peine",Goethestraße 16,31224,Peine,52.322946099999996,10.231651486033625
1030,"Steinweig 11, 38518 Gifhorn",Steinweig 11,38518,Gifhorn,,
1586,,,,,,
2390,,,,,,
2101,"Clayallee 349, 14169 Berlin",Clayallee 349,14169,Berlin,52.4360053,13.2606719
1826,,,,,,
2391,,,,,,
2392,,,,,,
1989,"Feldschmiede 77 A, 25524 Itzehoe",Feldschmiede 77 A,25524,Itzehoe,53.9260859,9.5135605
1989,"Neue Anlage 17, 25746 Heide",Neue Anlage 17,25746,Heide,54.1931796,9.093842514190738
2102,,,,,,
1760,"Ulricherstr. 27, 59494 Soest",Ulricherstr. 27,59494,Soest,51.5676165,8.107475919534412
1760,"Cappelstrasse 7, 59555 Lippstadt",Cappelstrasse 7,59555,Lippstadt,51.6762347,8.3425356
2393,,,,,,
2395,,,,,,
2394,"Pilse 29, 99084 Erfurt",Pilse 29,99084,Erfurt,50.977241,11.032966
2104,"Zapfeweg 18, 48653 Coesfeld",Zapfeweg 18,48653,Coesfeld,51.9468733,7.1617458
2104,"Johannesstraße 5, 48329 Havixbeck",Johannesstraße 5,48329,Havixbeck,51.9745608,7.4148124
2105,"Kommerner Straße 100, 53879 Euskirchen",Kommerner Straße 100,53879,Euskirchen,50.6587696,6.777443
2106,"Radeberger Straße 51, 01099 Dresden",Radeberger Straße 51,01099,Dresden,51.06891485,13.772156311704546
